Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,GDP2010,POP2010
Saint Kitts and Nevis,0.00145,0.00145,0.00145,0.00163,0.00179,0.00189,0.00249,0.00354,0.00355,0.00372,0.00372,0.00375,52
Saint Lucia,0.00471,0.00494,0.00504,0.00552,0.00533,0.00532,0.00548,0.00577,0.00603,0.00587,0.00587,0.00604,177
Saint Vincent/Grenadines,0.00269,0.00268,0.00284,0.00296,0.00318,0.00317,0.0031,0.00314,0.00316,0.00314,0.00317,NA
Suriname,0.02927,0.03074,0.032,0.03275,0.03364,0.03496,0.03608,0.03571,0.03577,0.03637,0.03585,NA,4368007284,525
Trinidad and Tobago,0.42055,0.47354,0.49998,0.53889,0.59,0.67327,0.82112,0.82411,0.89599,0.85012,0.93624,0.92963,20667611846,1328
Turks and Caicos Islands,0.00039,0.00023,0.00018,0.00018,0.00017,0.00018,0.00017,0.001,0.00222,0.00226,0.00226,0.00213,,31
Uruguay,0.16448,0.16221,0.16845,0.16337,0.14096,0.15679,0.14879,0.1778,0.18452,0.18958,0.21154,NA,38846222984,3372
Venezuela,2.76891,3.03054,2.93435,2.72196,2.93675,2.91656,3.15857,3.06615,3.22512,3.03864,3.32096,NA,393807511437,29043
"Virgin Islands,  U.S.",0.13864,0.19195,0.19075,0.22458,0.23458,0.22889,0.23891,0.21603,0.22305,0.2232,0.22814,0.27736
"Virgin Islands, British",0.00084,0.00084,0.00084,0.00097,0.00123,0.00132,0.00141,0.00153,0.0016,0.00157,0.00157,0.00163
Europe,81.52783,82.65567,82.51751,84.08542,85.94542,85.76249,86.31168,86.69852,85.64615,81.21917,83.82449,NA,16252108894597
Albania,0.09619,0.0916,0.09516,0.11449,0.11651,0.12092,0.11852,0.10319,0.10963,0.11511,0.12509,0.10628,11858166294,3150
Austria,1.38594,1.43983,1.45087,1.4705,1.50963,1.55066,1.53621,1.5442,1.53367,1.47479,1.52707,1.46997,375217439473,8402
Belgium,2.7338,2.70258,2.6794,2.78228,2.80785,2.77869,2.7376,2.73626,2.91486,2.65429,2.74807,2.69109,468078947368,10941
Bosnia and Herzegovina,0.22358,0.22112,0.2316,0.22736,0.25338,0.27251,0.27846,0.25997,0.29093,0.30239,0.32508,NA,16775469777,3846
Bulgaria,0.86773,0.90406,0.8746,0.88654,0.87492,0.91869,0.94058,0.84127,0.81712,0.72108,0.76948,NA,47727325908,7389
Croatia,0.3756,0.38411,0.37378,0.39311,0.40806,0.404,0.41504,0.3948,0.40653,0.38864,0.39557,NA,58873839434,4338
Cyprus,0.10312,0.1125,0.11064,0.11157,0.11762,0.11984,0.12625,0.12657,0.13154,0.12457,0.12146,0.12564,23132450331,1104
Czech Republic,1.40621,1.45203,1.45139,1.51756,1.51531,1.55617,1.58825,1.64613,1.61534,1.53063,1.59118,1.57418,198475392670,10554
Denmark,0.87642,0.88917,0.8576,0.89932,0.86591,0.84618,0.90184,0.88542,0.84197,0.79435,0.83053,0.78282,313365836298,5551
Faroe Islands,0.01022,0.01022,0.01049,0.0105,0.01068,0.01086,0.01172,0.0113,0.01139,0.01133,0.0109,0.01186
Finland,1.21661,1.22831,1.24334,1.31717,1.3526,1.26539,1.32564,1.35083,1.29482,1.20685,1.30311,1.22339,235163157894,5368
Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,0.6587,0.70203,0.77788,0.78073,0.79528,0.76979,--,--,--,--,--,--
Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,--
France,10.95781,11.09223,11.00065,11.12078,11.40251,11.35578,11.3806,11.29532,11.29373,10.73373,11.02554,10.78072,2548315434210,63231
Germany,14.41007,14.76009,14.44915,14.70252,14.81923,14.42205,14.68168,14.22641,14.39583,13.52424,13.93671,13.08189,3282894736842,83017
"Germany, East",--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,0.09355,0.05126,0.05216,0.0535,0.05489,0.05644,0.05775,0.05952,0.06104,0.06265,0.06368,0.06089,29
Greece,1.338,1.35539,1.35968,1.43748,1.42721,1.44302,1.4855,1.50936,1.47097,1.40269,1.3418,1.29289,292304602598,11110
Hungary,1.02243,1.05724,1.06097,1.08511,1.08542,1.15794,1.14796,1.12415,1.10717,1.03658,1.05124,1.02138,127503279792,10015
Iceland,0.1199,0.12267,0.12659,0.12829,0.12972,0.1306,0.14327,0.16695,0.20929,0.2039,0.20542,0.21376,12564891657,318
Ireland,0.60027,0.62845,0.62447,0.61908,0.64429,0.66413,0.70269,0.70299,0.69324,0.62099,0.62811,0.59461,208022028243,4468
Italy,7.58182,7.62301,7.65325,7.90469,8.16668,8.07918,8.00936,8.03926,7.83857,7.35131,7.62586,7.40538,2041954747600,60509
Luxembourg,0.15384,0.16143,0.16988,0.17893,0.19745,0.20597,0.20346,0.1993,0.19594,0.18552,0.19874,0.19426,51713947368,508
Macedonia,0.11505,0.10637,0.1066,0.1156,0.11805,0.11917,0.11709,0.11407,0.11367,0.1128,0.12055,NA,9338665630,2102
Malta,0.03919,0.0329,0.03939,0.03925,0.03973,0.04122,0.03904,0.04138,0.04255,0.08783,0.10438,0.10018,8163841059,425
Montenegro,--,--,--,--,--,--,0.04016,0.03602,0.04311,0.03953,0.04752,NA,4114780573,620
Netherlands,3.79343,3.92944,3.93986,4.02199,4.13271,4.23416,4.14183,4.35459,4.14045,4.07681,4.2662,4.07899,772090789473,16615
Norway,1.98845,1.89297,1.94002,1.82,1.92523,2.0028,1.84424,1.97706,1.94232,1.89931,1.86836,1.86774,421236092715,4891
Poland,3.62445,3.45492,3.45339,3.57188,3.74765,3.67445,3.85182,3.91829,3.89067,3.78329,4.05529,4.09716,469736810690,38199
Portugal,1.07048,1.08598,1.08306,1.11732,1.11244,1.12608,1.1019,1.12765,1.06227,1.0649,1.12574,1.074,227446710526,10590
Romania,1.58611,1.71549,1.68366,1.63078,1.68956,1.6655,1.67453,1.66212,1.64164,1.41096,1.42516,1.52122,164435979735,21861
Serbia,--,--,--,--,--,--,0.77822,0.76824,0.74762,0.74543,0.77456,NA,36990001283,9647
Slovakia,0.78498,0.82957,0.84408,0.82019,0.80533,0.83036,0.81948,0.79151,0.80208,0.72467,0.77205,0.73283,5433
Slovenia,0.29282,0.29895,0.30204,0.30098,0.31417,0.3193,0.31761,0.31862,0.33989,0.30802,0.30953,0.30434,46908328071,2054
Spain,5.54154,5.78945,5.83067,6.13748,6.34354,6.44556,6.4938,6.76091,6.52779,6.10063,6.23946,6.0968,1375815789473,46182
Sweden,2.27081,2.40492,2.27707,2.16972,2.30924,2.33275,2.21398,2.28591,2.22166,2.05075,2.22204,2.14353,462903051317,9382
Switzerland,1.29678,1.35071,1.28496,1.30302,1.31289,1.26341,1.28603,1.3027,1.31995,1.2873,1.26518,1.25502,550638974461,7831
Turkey,3.16279,2.89384,3.14597,3.31735,3.51199,3.73432,4.07083,4.4552,4.29029,4.29655,4.48981,4.92177,731144392556,72138
United Kingdom,9.72914,9.88082,9.93318,9.97834,10.02772,9.84463,9.72876,9.56105,9.28664,8.78475,8.91401,8.51752,2285561538461,62066
Eurasia,39.18995,38.86752,40.23104,41.64453,42.91998,43.00702,42.59499,44.02493,45.06215,40.37198,42.83648,NA
Armenia,0.16247,0.1646,0.16393,0.17541,0.18063,0.20159,0.2038,0.22112,0.21598,0.20127,0.21196,NA,9260297329,2963
