Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,GDP2010,POP2010
Fiji,0.02432,0.02626,0.03022,0.03655,0.03957,0.03893,0.04065,0.0405,0.04348,0.02431,0.02342,0.02339,3225095136,861
French Polynesia,0.01072,0.01065,0.01126,0.01361,0.01366,0.01478,0.01609,0.0161,0.01742,0.01682,0.0169,NA,,268
Guam,0.03928,0.04231,0.02882,0.0331,0.0263,0.02938,0.03058,0.02752,0.02386,0.01457,0.01304,0.01586,,159
Hawaiian Trade Zone,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,0.80565,0.85755,0.92558,0.95826,1.06668,1.11214,1.09962,1.13409,1.0887,1.21474,1.26287,1.25161,228695747309,7050
India,13.33329,13.83718,13.66474,14.11354,15.31959,16.33149,17.63085,18.81378,19.90302,21.41704,21.9198,23.61068,1710908768959,1205625
Indonesia,3.87305,3.93491,4.08854,4.104,4.43032,4.64683,5.0977,5.32105,5.43696,5.80577,6.05509,6.13087,709190822690,240676
Japan,22.41466,22.20305,22.11821,22.60477,23.242,23.1348,22.86986,23.04962,21.89256,20.69509,21.77269,20.85621,5495379357484,127353
Kiribati,0.00035,0.00035,0.00045,0.00045,0.00045,0.00054,0.00054,0.00057,0.00053,0.00087,0.00087,0.00083,150431113,98
"Korea, North",0.85941,0.88168,0.85064,0.87877,0.89887,0.93287,0.93706,0.80423,0.88522,0.8345,0.81923,NA
"Korea, South",7.8348,8.10102,8.51247,8.76202,9.00854,9.33207,9.44994,9.83603,9.8871,9.97149,10.7827,11.16071
Laos,0.03448,0.03469,0.0359,0.03366,0.03681,0.03848,0.04005,0.04305,0.04681,0.04636,0.04524,NA
Macau,0.02211,0.02369,0.02586,0.02686,0.03248,0.02857,0.03522,0.03774,0.04144,0.03313,0.03069,NA
Malaysia,1.97785,2.10768,2.19218,2.26849,2.26098,2.28943,2.36515,2.59795,2.67668,2.78314,2.98849,NA,247533525517,28276
Maldives,0.00663,0.00713,0.01307,0.0147,0.01027,0.00823,0.01136,0.01279,0.01313,0.01459,0.01459,0.01471,2134104883,326
Mongolia,0.06313,0.06517,0.06955,0.06646,0.07102,0.07177,0.08214,0.08515,0.09026,0.09005,0.09273,NA,6200357070,2713
Nauru,0.00213,0.00214,0.00223,0.00223,0.00226,0.00231,0.00226,0.0023,0.00231,0.00237,0.00237,0.00221,10
Nepal,0.05805,0.06212,0.0586,0.06154,0.0631,0.06936,0.06769,0.06982,0.07047,0.07898,0.08436,NA,16010389261,26846
New Caledonia,0.02974,0.0292,0.03227,0.03324,0.03547,0.03513,0.04069,0.0412,0.04466,0.04242,0.04287,NA,,246
New Zealand,0.82614,0.83579,0.85376,0.84516,0.87666,0.84479,0.86117,0.86163,0.85232,0.84236,0.85742,0.86347,143246762589,4368
Niue,0.00004,0.00004,0.00004,0.00004,0.00004,0.00006,0.00007,0.00007,0.00005,0.00005,0.00005,0.00004,1
Pakistan,1.84612,1.79929,1.81339,1.91194,1.96634,2.13909,2.38416,2.48149,2.47811,2.50371,2.55969,2.56099,177406854514,173149
Papua New Guinea,0.04557,0.04578,0.06074,0.06931,0.06853,0.06962,0.07245,0.07309,0.08396,0.05778,0.05858,NA,9480047958,6859
Philippines,1.13956,1.12599,1.14734,1.18464,1.21389,1.2158,1.20589,1.17952,1.20299,1.14336,1.21734,1.26787,199589447424,93444
Samoa,0.00234,0.00248,0.0027,0.00263,0.00265,0.00279,0.00275,0.00281,0.00282,0.00286,0.00287,NA,572160378,186
Singapore,1.52664,1.62081,1.60212,1.69219,1.90294,2.03676,2.08333,2.26036,2.53059,2.89374,3.37195,3.09746,217200123752,5079
Solomon Islands,0.0025,0.00251,0.0026,0.0026,0.00267,0.00294,0.00273,0.00303,0.00294,0.00273,0.003,0.00307,678625481,526
Sri Lanka,0.18938,0.18644,0.18871,0.20061,0.19925,0.2195,0.21647,0.22235,0.22215,0.22402,0.22781,NA,49567521669,20759
Taiwan,3.80833,3.85665,4.09014,4.2601,4.39973,4.435,4.56696,4.61181,4.56075,4.49634,4.82987,NA
Thailand,2.57173,2.69236,2.93221,3.20772,3.44176,3.65174,3.70545,3.83697,3.95005,4.05101,4.32479,4.44471,318907930075,66402
Timor-Leste (East Timor),--,--,--,0.0023,0.0025,0.00249,0.00254,0.00462,0.00479,0.00262,0.00262,0.0027,934300000,1079
Tonga,0.00187,0.00178,0.00159,0.00159,0.00171,0.00208,0.00246,0.00252,0.00253,0.00252,0.00252,0.00252,369212477,104
U.S. Pacific Islands,0.0044,0.00442,0.00434,0.00434,0.00431,0.00432,0.00442,0.0045,0.00507,0.00441,0.00513,NA
Vanuatu,0.00118,0.00118,0.00127,0.00127,0.00131,0.0014,0.00136,0.00158,0.00143,0.00175,0.00175,0.00209,700804045,236
Vietnam,0.73608,0.81314,0.90187,0.97817,1.06511,1.17323,1.30862,1.4182,1.63544,1.67657,1.86492,NA,115931749904
Wake Island,0.0187,0.01875,0.01907,0.01907,0.01896,0.01888,0.01937,0.01986,0.01888,0.01932,0.01916,0.019
World,400.07194,402.27059,412.21126,425.87377,444.69444,459.29216,470.14802,482.86461,490.6727,487.58009,510.55101,NA,64081876752375
