Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,G2000,G2001,G2002,G2003,G2004,G2005,G2006,G2007,G2008,G2009,G2010
Guadeloupe,0.02632,0.02679,0.02733,0.02931,0.02985,0.03126,0.03275,0.03631,0.03707,0.03188,0.03188,,,,,,,,,,,
Guatemala,0.15753,0.16974,0.1687,0.17628,0.19425,0.20438,0.20222,0.20965,0.19736,0.21336,0.21337,19290566570,18702820735,20776536919,21917565499,23965280312,27211230373,30231130542,34113106486,39136286496,37733791088,41338161799
Guyana,0.0229,0.02354,0.02393,0.02341,0.02101,0.02313,0.022,0.02186,0.02235,0.02256,0.02244,712667925,696281468,722460911,741929343,785918769,824880550,1458449057,1740335068,1922597806,2025565089,2259288026
Haiti,0.02408,0.02601,0.02652,0.02639,0.02686,0.02719,0.02785,0.02907,0.03579,0.03339,0.03097,3664503845,3507981945,3214632478,2826481071,3660483885,4154289832,4879738635,5971284337,6407707284,6470254240,6634579143
Honduras,0.08601,0.09293,0.09775,0.10039,0.10937,0.11675,0.12283,0.13443,0.13243,0.12509,0.13198,7105541205,7566501475,7776438040,8140284928,8772167983,9672095583,10841723354,12275493958,13789727209,14486137413,15729644901
Jamaica,0.14637,0.14699,0.15054,0.15637,0.15835,0.15258,0.17143,0.18033,0.17854,0.12778,0.12696,9008629729,9104515930,9718989516,9430236065,10173234921,11075778481,11903020643,12820055024,13676837630,12043372132,13202998397
Martinique,0.02815,0.02841,0.02879,0.03002,0.03085,0.03266,0.03259,0.03382,0.03016,0.03605,0.0361,,,,,,,,,,,
Montserrat,0.00075,0.00075,0.00075,0.00084,0.00092,0.00097,0.00106,0.00115,0.00117,0.00115,0.00115,,,,,,,,,,,
Netherlands Antilles,0.15593,0.15784,0.15109,0.14478,0.14548,0.15318,0.16036,0.16864,0.19364,0.17341,0.16436,385074626865,400654138702,437807265198,538312641083,609889925685,638470626274,677691901432,782566743038,870811147324,796333367137,772090789473
Nicaragua,0.05537,0.0591,0.06114,0.06242,0.06628,0.07106,0.07053,0.07157,0.07145,0.07015,0.07232,5107329009,5323146567,5224213018,5322437647,5795568202,6322582497,6786294613,7446636654,8254342299,8156131183,8586295846
Panama,0.20637,0.20344,0.20284,0.19682,0.2272,0.22021,0.2299,0.23553,0.23881,0.25028,0.27683,11620500000,11807500000,12272400000,12933200000,14179300000,15464700000,17137000000,19793700000,23001600000,24162900000,26589600000
Paraguay,0.42971,0.37938,0.39444,0.4241,0.41508,0.40976,0.42508,0.4253,0.4405,0.43597,0.43752,8195993191,7662594856,6325151820,6588103956,8033877459,8734651353,10662013294,13837525590,18504760911,15954961409,20028375553
Peru,0.52873,0.53776,0.54613,0.55734,0.58274,0.61903,0.67681,0.68496,0.76281,0.74815,0.84796,53290390318,53935760985,56772338815,61346725170,69725009964,79385073422,92432757798,107492226613,129537265753,130064300617,157609814184
Puerto Rico,0.44069,0.47836,0.48162,0.51986,0.53042,0.51355,0.51434,0.42645,0.44085,0.39426,0.43966,61702000000,69208000000,71624000000,74827000000,79209000000,82809000000,86157000000,88405000000,92605700000,95369800000,97147300000
Saint Kitts and Nevis,0.00145,0.00145,0.00145,0.00163,0.00179,0.00189,0.00249,0.00354,0.00355,0.00372,0.00372,,,,,,,,,,,
Saint Lucia,0.00471,0.00494,0.00504,0.00552,0.00533,0.00532,0.00548,0.00577,0.00603,0.00587,0.00587,,,,,,,,,,,
Saint Vincent/Grenadines,0.00269,0.00268,0.00284,0.00296,0.00318,0.00317,0.0031,0.00314,0.00316,0.00314,0.00317,,,,,,,,,,,
Suriname,0.02927,0.03074,0.032,0.03275,0.03364,0.03496,0.03608,0.03571,0.03577,0.03637,0.03585,892164363,763465570,1078402127,1271196078,1484092538,1793557833,2626093294,2936612021,3532969034,3875409836,4368007284
Trinidad and Tobago,0.42055,0.47354,0.49998,0.53889,0.59,0.67327,0.82112,0.82411,0.89599,0.85012,0.93624,8154315708,8824873155,9008273516,11235960523,12884712295,16088526685,18460905284,21735387008,28017710148,19251916757,20667611846
Turks and Caicos Islands,0.00039,0.00023,0.00018,0.00018,0.00017,0.00018,0.00017,0.001,0.00222,0.00226,0.00226,,,,,,,,,,,
Uruguay,0.16448,0.16221,0.16845,0.16337,0.14096,0.15679,0.14879,0.1778,0.18452,0.18958,0.21154,22823255805,20898788420,13606494599,12045627411,13686333821,17362872709,19579479147,23410536954,30366148247,30229404320,38846222984
Venezuela,2.76891,3.03054,2.93435,2.72196,2.93675,2.91656,3.15857,3.06615,3.22512,3.03864,3.32096,117147614565,122909734601,92889586976,83622191418,112451400422,145513489651,183477522123,230364012575,315600203539,329418979506,393807511437
"Virgin Islands,  U.S.",0.13864,0.19195,0.19075,0.22458,0.23458,0.22889,0.23891,0.21603,0.22305,0.2232,0.22814,,,,,,,,,,,
"Virgin Islands, British",0.00084,0.00084,0.00084,0.00097,0.00123,0.00132,0.00141,0.00153,0.0016,0.00157,0.00157,,,,,,,,,,,
Europe,81.52783,82.65567,82.51751,84.08542,85.94542,85.76249,86.31168,86.69852,85.64615,81.21917,83.82449,,,,,,,,,,,
Albania,0.09619,0.0916,0.09516,0.11449,0.11651,0.12092,0.11852,0.10319,0.10963,0.11511,0.12509,3686649387,4091020249,4449373455,5652325081,7464446950,8376483740,9132562332,10704661570,12968652890,12118580597,11858166294
Austria,1.38594,1.43983,1.45087,1.4705,1.50963,1.55066,1.53621,1.5442,1.53367,1.47479,1.52707,192070749953,191678678299,207537336721,253945776523,291430382497,304983601949,324954402044,375041784029,414171069689,383733743330,375217439473
Belgium,2.7338,2.70258,2.6794,2.78228,2.80785,2.77869,2.7376,2.73626,2.91486,2.65429,2.74807,232672747374,232485906040,252795031055,311689616252,361683211959,377350395463,399965627160,459618853659,507379060314,473254584680,468078947368
Bosnia and Herzegovina,0.22358,0.22112,0.2316,0.22736,0.25338,0.27251,0.27846,0.25997,0.29093,0.30239,0.32508,5505984455,5748990554,6651226179,8370020196,10022840634,10948051122,12400102623,15280615815,18543289394,17082889409,16775469777
Bulgaria,0.86773,0.90406,0.8746,0.88654,0.87492,0.91869,0.94058,0.84127,0.81712,0.72108,0.76948,12903546765,13868600709,15979194511,20668176833,25283228366,28895083539,33209188738,42113656147,51824892678,48568714011,47727325908
Croatia,0.3756,0.38411,0.37378,0.39311,0.40806,0.404,0.41504,0.3948,0.40653,0.38864,0.39557,21517784659,23052044812,26524896398,34143409062,41003558915,44821408830,49855078905,59335976948,69595272329,62244202546,58873839434
Cyprus,0.10312,0.1125,0.11064,0.11157,0.11762,0.11984,0.12625,0.12657,0.13154,0.12457,0.12146,9314937556,9679304970,10557366161,13319544758,15816972050,16997801392,18435765910,21841815680,25321517504,23542650736,23132450331
Czech Republic,1.40621,1.45203,1.45139,1.51756,1.51531,1.55617,1.58825,1.64613,1.61534,1.53063,1.59118,58807244367,64375288106,78425201660,95292530752,113976672924,130052420701,148345088495,180511237062,225448799062,197218205666,198475392670
Denmark,0.87642,0.88917,0.8576,0.89932,0.86591,0.84618,0.90184,0.88542,0.84197,0.79435,0.83053,160082517845,160476161868,173880831443,212621855882,244727978020,257675536234,274376889678,311417601998,343881383958,310544743670,313365836298
Faroe Islands,0.01022,0.01022,0.01049,0.0105,0.01068,0.01086,0.01172,0.0113,0.01139,0.01133,0.0109,,,,,,,,,,,
Finland,1.21661,1.22831,1.24334,1.31717,1.3526,1.26539,1.32564,1.35083,1.29482,1.20685,1.30311,121793808734,124642505592,135183512140,164256207674,189064585622,195777993334,207949409201,246127357186,271974219064,239382754295,235163157894
Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,
Former Serbia and Montenegro,0.6587,0.70203,0.77788,0.78073,0.79528,0.76979,--,--,--,--,--,,,,,,,,,,,
Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,
France,10.95781,11.09223,11.00065,11.12078,11.40251,11.35578,11.3806,11.29532,11.29373,10.73373,11.02554,1326334899576,1338302818791,1452030303030,1792214221218,2055678853687,2136555489230,2255705477450,2582389733356,2831794045482,2619685000757,2548315434210
Germany,14.41007,14.76009,14.44915,14.70252,14.81923,14.42205,14.68168,14.22641,14.39583,13.52424,13.93671,1886401326699,1880894854586,2006587615283,2423814898419,2726341472500,2766253792966,2902748698160,3323807412152,3623686234298,3298219195018,3282894736842
"Germany, East",--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,
"Germany, West",--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,
Gibraltar,0.09355,0.05126,0.05216,0.0535,0.05489,0.05644,0.05775,0.05952,0.06104,0.06265,0.06368,,,,,,,,,,,
Greece,1.338,1.35539,1.35968,1.43748,1.42721,1.44302,1.4855,1.50936,1.47097,1.40269,1.3418,124418164455,129841697351,146050256230,192850219244,227950420085,240075690332,261713232775,305431771154,341593975533,321016154721,292304602598
Hungary,1.02243,1.05724,1.06097,1.08511,1.08542,1.15794,1.14796,1.12415,1.10717,1.03658,1.05124,46385589533,52720966883,66389489264,83538373060,101925734602,110321711572,112533152716,136102020866,154233541852,126631684032,127503279792
Iceland,0.1199,0.12267,0.12659,0.12829,0.12972,0.1306,0.14327,0.16695,0.20929,0.2039,0.20542,8697298233,7922983042,8907207933,10969898924,13251434311,16286323127,16651492783,20428232684,16832079676,12115478892,12564891657
Ireland,0.60027,0.62845,0.62447,0.61908,0.64429,0.66413,0.70269,0.70299,0.69324,0.62099,0.62811,97331522051,105166579627,123016253872,158730360073,186281307557,202577741640,222762911715,259574153791,264034092036,225442965634,208022028243
Italy,7.58182,7.62301,7.65325,7.90469,8.16668,8.07918,8.00936,8.03926,7.83857,7.35131,7.62586,1104009462562,1123702691037,1225176959595,1514503536381,1735521503771,1786275014006,1872982702430,2127180496503,2307311493054,2111148008711,2041954747600
Luxembourg,0.15384,0.16143,0.16988,0.17893,0.19745,0.20597,0.20346,0.1993,0.19594,0.18552,0.19874,20267551133,20196868008,22568793525,29144582392,34077095478,37643013480,42544669010,51320626630,54742739956,49420776474,51713947368
Macedonia,0.11505,0.10637,0.1066,0.1156,0.11805,0.11917,0.11709,0.11407,0.11367,0.1128,0.12055,3586883988,3436961384,3791306757,4756221628,5514253043,5985809059,6560546900,8159825620,9834038366,9313573964,9338665630
Malta,0.03919,0.0329,0.03939,0.03925,0.03973,0.04122,0.03904,0.04138,0.04255,0.08783,0.10438,3957418082,3917620727,4296164768,5119621569,5643525281,5980795755,6390123590,7513834699,8554293727,8099400960,8163841059
Montenegro,--,--,--,--,--,--,0.04016,0.03602,0.04311,0.03953,0.04752,984279596,1159891560,1284504508,1707662607,2073255525,2257181942,2696020574,3668857103,4519731946,4157852771,4114780573
Netherlands,3.79343,3.92944,3.93986,4.02199,4.13271,4.23416,4.14183,4.35459,4.14045,4.07681,4.2662,385074626865,400654138702,437807265198,538312641083,609889925685,638470626274,677691901432,782566743038,870811147324,796333367137,772090789473
Norway,1.98845,1.89297,1.94002,1.82,1.92523,2.0028,1.84424,1.97706,1.94232,1.89931,1.86836,168288531891,170922851073,191927027230,224880794327,260029106207,304060069848,340041912703,393479162081,453885460992,378849392446,421236092715
Poland,3.62445,3.45492,3.45339,3.57188,3.74765,3.67445,3.85182,3.91829,3.89067,3.78329,4.05529,171276118424,190420870074,198179425151,216800888642,252768998589,303912247950,341669943593,425321502150,529432301178,430917310342,469736810690
Portugal,1.07048,1.08598,1.08306,1.11732,1.11244,1.12608,1.1019,1.12765,1.06227,1.0649,1.12574,117299520913,120332080536,132285714285,161931941309,185397304327,191847858528,201790398436,231741573802,251925293880,234119384365,227446710526
Romania,1.58611,1.71549,1.68366,1.63078,1.68956,1.6655,1.67453,1.66212,1.64164,1.41096,1.42516,37052636395,40180746113,45824529874,59507345650,75489440362,98913392471,122641508767,169282491900,204335225693,164345718689,164435979735
Serbia,--,--,--,--,--,--,0.77822,0.76824,0.74762,0.74543,0.77456,6082791506,11390468618,15102567924,19550781969,23649854234,25234408772,29221081586,38952093544,47760580365,40249479880,36990001283
Slovakia,0.78498,0.82957,0.84408,0.82019,0.80533,0.83036,0.81948,0.79151,0.80208,0.72467,0.77205,,,,,,,,,,,
Slovenia,0.29282,0.29895,0.30204,0.30098,0.31417,0.3193,0.31761,0.31862,0.33989,0.30802,0.30953,19979467790,20498926980,23136352386,29152072067,33837749815,35717733757,38945146499,47306799054,54606018255,49056152691,46908328071
Spain,5.54154,5.78945,5.83067,6.13748,6.34354,6.44556,6.4938,6.76091,6.52779,6.10063,6.23946,580345494748,608856375838,686295878035,883839729119,1044612070303,1130798885738,1236352163544,1441426534070,1593420002197,1454336570613,1375815789473
Sweden,2.27081,2.40492,2.27707,2.16972,2.30924,2.33275,2.21398,2.28591,2.22166,2.05075,2.22204,247260155857,227359498891,250960758336,314713404152,362089648912,370579639747,399075661572,462512853670,486158607819,405782994635,462903051317
Switzerland,1.29678,1.35071,1.28496,1.30302,1.31289,1.26341,1.28603,1.3027,1.31995,1.2873,1.26518,256042925982,262647169329,286658255888,334574926429,374224186243,384753967478,405183914852,450528109859,524289203562,509467163036,550638974461
Turkey,3.16279,2.89384,3.14597,3.31735,3.51199,3.73432,4.07083,4.4552,4.29029,4.29655,4.48981,266567531989,196005288838,232534560774,303005302818,392166274991,482979839237,530900095204,647155133931,730337495966,614553921823,731144392556
United Kingdom,9.72914,9.88082,9.93318,9.97834,10.02772,9.84463,9.72876,9.56105,9.28664,8.78475,8.91401,1493628385534,1485147545703,1620900779376,1875141224489,2220820974770,2321359350397,2483008793218,2857080828857,2687796663762,2208002878867,2285561538461
Eurasia,39.18995,38.86752,40.23104,41.64453,42.91998,43.00702,42.59499,44.02493,45.06215,40.37198,42.83648,,,,,,,,,,,
Armenia,0.16247,0.1646,0.16393,0.17541,0.18063,0.20159,0.2038,0.22112,0.21598,0.20127,0.21196,1911563665,2118467913,2376335048,2807061008,3576615240,4900436758,6384457744,9206277478,11662017844,8648015304,9260297329
Azerbaijan,0.52002,0.52053,0.59178,0.60157,0.63699,0.65892,0.69878,0.59244,0.71848,0.56673,0.55567,5272617196,5707618246,6236024951,7275766111,8680511918,13245421880,20982270733,33049380917,48852482960,44291490420,52905998878
Belarus,1.05214,0.96268,0.90747,0.98457,0.95177,1.12403,1.15433,1.15134,1.12029,1.05118,1.13123,12736856485,12354820143,14594925392,17825436034,23141587717,30210091836,36961918858,45275711995,60763483146,49271267252,55220932613
Estonia,0.19633,0.2039,0.2034,0.22366,0.23265,0.23315,0.22655,0.23105,0.22402,0.19773,0.22299,5675174661,6237914200,7318186726,9840743037,12025943709,13905561150,16798495347,21993658963,23781539698,19406626721,18909381436
Former U.S.S.R.,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,
Georgia,0.13752,0.12619,0.14833,0.13288,0.1357,0.15153,0.13936,0.16648,0.1737,0.17753,0.19191,3057453460,3219487823,3395778661,3991374539,5125273877,6411147323,7761900179,10172260738,12799337249,10766836276,11638236642
Kazakhstan,1.83351,1.93523,1.99277,1.82516,2.18332,2.23411,2.37702,2.38347,2.36741,2.14318,2.25517,18291990619,22152689129,24636598581,30833692831,43151647002,57123671733,81003864915,104849915343,133441649221,115308687201,148052371903
Kyrgyzstan,0.24136,0.22777,0.19289,0.20385,0.21189,0.21021,0.21543,0.20304,0.17757,0.20701,0.20166,,,,,,,,,,,
Latvia,0.15412,0.16092,0.154,0.16071,0.17574,0.18543,0.18448,0.17261,0.16337,0.16488,0.16082,7833068425,8313047743,9314784080,11186452600,13761569544,16041840426,19935046397,28765687041,33669367720,25875781250,24009680459
Lithuania,0.2973,0.31679,0.34054,0.35264,0.35316,0.35257,0.35277,0.38586,0.37472,0.32429,0.26217,11434200000,12159225000,14163949141,18608709856,22551543054,25962254180,30088510798,39103973050,47252926428,36846183172,36306384146
Moldova,0.11014,0.10728,0.11896,0.1305,0.12268,0.1293,0.13827,0.12851,0.13351,0.11866,0.1186,1288420222,1480656884,1661818168,1980901553,2598231467,2988172424,3408454197,4402495921,6054806100,5439422031,5811622393
Russia,26.13934,25.70645,26.66264,27.4133,28.14579,27.92219,27.68692,28.69019,29.63247,27.68958,29.32178,259708496267,306602673980,345110438693,430347770733,591016690742,764000901160,989930542278,1299705764824,1660846387626,1222648134225,1524916698233
Tajikistan,0.23909,0.24705,0.25201,0.27054,0.27419,0.28425,0.28025,0.27243,0.25661,0.18682,0.19051,860550294,1080774005,1221113794,1554125542,2076148710,2312319579,2830236053,3719497371,5161336170,4979481980,5642221528
Turkmenistan,0.40112,0.50227,0.58452,0.75923,0.80707,0.83243,0.84142,0.89993,0.93194,0.88651,0.92312,2904662604,3534771968,4462028988,5977440582,6838351088,8104355716,10277598152,12664165103,19271445266,20214456140,22148070175
Ukraine,5.75077,5.64106,5.82163,6.2826,6.25436,6.32588,5.86877,6.29988,6.22468,4.45821,5.09354,31261527363,38009344576,42392896031,50132953288,64883060725,86142018069,107753069306,142719009900,179992405832,117227769791,136418622767
Uzbekistan,1.95472,2.04481,2.09616,2.12792,2.25405,2.1614,2.22683,2.22658,2.34739,1.99839,1.99535,13760374487,11401351420,9687951055,10128112401,12030023547,14307509838,17030896203,22311393927,27934030937,32816828372,39332771014
Middle East,17.35068,17.97316,19.01498,19.81524,20.96458,22.8694,23.94168,23.94363,26.09924,27.44746,28.73368,,,,,,,,,,,
Bahrain,0.36474,0.37722,0.39762,0.40773,0.41884,0.44726,0.48868,0.51317,0.53474,0.54327,0.55759,7970690894,7928934209,8491183200,9747599583,11235671061,13460198289,15854942950,18473097688,21902892583,19318822540,25713571420
Iran,5.02081,5.38611,5.88847,6.1875,6.40678,7.33526,7.67976,7.89703,8.09856,9.04268,9.10777,101286514977,115438386681,116420833373,135409681532,163226579221,192014940324,222880533511,286057933325,355988367221,362661111280,422567967404
Iraq,1.08419,1.13411,1.14428,1.0122,1.12508,1.23888,1.22646,1.30916,1.34034,1.45744,1.50018,25857106735,18936094867,18969591211,,25509364916,36743640204,65141035027,88837727881,131611819294,111659988888,135488471367
Israel,0.81131,0.87409,0.84092,0.85309,0.8555,0.87197,0.88416,0.91127,0.83252,0.87707,0.94537,124895151203,122940533086,112974376292,118673283414,126571173583,133959001782,145479599622,167111803510,201661649944,194866363197,231674511901
Jordan,0.22545,0.2202,0.23062,0.25148,0.27821,0.29423,0.30837,0.30975,0.30782,0.31309,0.32667,8457923945,8972965061,9580161951,10193023726,11407566660,12582876895,15056937190,17110610000,21971835255,23820013058,26425379366
Kuwait,0.90963,0.88264,0.88761,0.96046,1.00698,1.14679,1.13313,1.12475,1.16169,1.21498,1.28347,37718011468,34890773740,38138801497,47875837662,59440511981,80797945205,101561153806,114721830985,147402413798,105911338608,119934674734
Lebanon,0.23433,0.22499,0.22859,0.23803,0.22844,0.21854,0.19424,0.17922,0.18233,0.28324,0.27604,17260364842,17649751243,19152238805,20082918739,21789054726,21860696517,22438474295,25056716417,30079601990,34650746268,37124378109
Oman,0.34089,0.34692,0.36024,0.3566,0.38096,0.48045,0.55125,0.58188,0.68767,0.75002,0.86701,19867880550,19949284974,20049414986,21542262852,24673602279,30905071770,36803641389,41901170688,60566970579,46866060195,58813004375
Palestinian Territories,0.01978,0.0266,0.02469,0.02643,0.04029,0.04934,0.05351,0.05453,0.05852,0.04525,0.04585,,,,,,,,,,,
Qatar,0.64476,0.5025,0.5271,0.58437,0.70528,0.88637,0.95057,0.99146,1.01462,1.08657,1.10456,17759889598,17538461033,19363735705,23533790530,31675273812,43040108649,60496701553,79546975729,115019776904,97583513671,125122249141
Saudi Arabia,4.85276,5.1387,5.38353,5.76125,6.20771,6.52548,6.8456,6.18472,7.45005,7.22524,7.84894,188441864874,183012268441,188551196398,214572800000,258742133333,328459608764,376900133511,415909018143,519796800000,429097866666,526811466666
Syria,0.78206,0.76222,0.8197,0.82694,0.84518,0.80437,0.80649,0.80705,0.81778,0.9479,1.03228,19325894913,21099833783,21582248881,21828144686,25086930693,28858965517,33332844574,40405006007,52581913978,53934534350,59147033451
United Arab Emirates,1.8663,1.89112,2.05573,2.1047,2.21903,2.31365,2.53901,2.82421,3.29263,3.37142,3.53612,104337375342,103311643522,109816204634,124346361618,147824374542,180617023539,222105928740,258150041410,314844665222,270334929437,287421927883
Yemen,0.19367,0.20573,0.22587,0.24444,0.2463,0.25679,0.28046,0.25545,0.31997,0.28928,0.30183,9636342274,9854042164,10693278291,11777768086,13873500887,16753787028,18941303849,21596088517,26869018825,24581907773,31883409718
Africa,12.03873,12.62643,12.7111,13.34942,13.95348,14.48942,14.58177,14.99456,16.07699,15.92452,16.32675,,,,,,,,,,,
Algeria,1.23857,1.25615,1.27659,1.2927,1.26393,1.48134,1.54318,1.61954,1.72123,1.7988,1.79829,54790058957,54744716706,56760288961,67863832648,85324997369,103198650297,117026655313,134977867931,171000162581,137211795394,161207304960
Angola,0.09094,0.1193,0.12741,0.13525,0.14463,0.14764,0.1659,0.1862,0.19718,0.20883,0.23924,9129594818,8936079252,12497346042,14188949239,19640862549,28233699240,41789494461,60448890972,84178086998,75492417649,82470894868
Benin,0.02426,0.02449,0.02594,0.03053,0.03556,0.03725,0.04391,0.04767,0.05264,0.06582,0.07364,2359122302,2499269391,2807657386,3557229701,4050869967,4358015992,4705087452,5506275948,6633561835,6585134688,6558416322
