Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Antigua and Barbuda,,,,,,,,,,,,,,,,,"66,144,443.2762914","74,855,554.2335588","92,240,739.1117105","110,066,664.722819","124,462,954.838942","137,951,855.34146","153,270,373.589444","173,511,108.046794","201,862,965.32386","245,896,291.953611","286,474,069.01476","338,696,290.314704","373,403,703.035082","391,570,363.454988","410,388,899.418937","423,762,955.479039","456,537,023.048377","500,088,880.057001","494,185,188.309412","541,074,082.296139","579,851,829.759447","620,037,014.234937","651,851,840.339733","787,693,391.348092","778,311,556.513781","806,505,874.275111","849,234,753.890862","905,113,766.533633","1,001,970,945.08233","1,141,418,339.6196","1,295,824,296.3001","1,354,616,665.25926","1,259,082,071.48148","1,161,528,615.92593","1,094,862,187.77778","1,134,159,259.25926"
Australia,"19,689,774,890.8052","19,923,843,655.5045","21,542,165,976.0332","23,803,337,439.8029","25,978,273,042.8939","27,305,409,340.3517","30,440,138,873.3341","32,709,149,960.8019","36,681,599,283.2344","41,330,496,136.1855","45,212,229,812.969","52,035,046,728.972","63,818,065,342.729","88,959,469,417.8335","97,278,437,798.7164","105,025,841,421.908","110,320,027,529.25","118,458,154,748.477","134,858,570,941.724","149,957,660,167.131","176,884,941,367.7","194,047,224,980.691","177,255,966,307.908","193,593,551,892.773","180,551,507,248.6","182,504,896,474.538","189,718,766,543.145","236,924,476,135.041","300,881,035,746.275","311,393,612,928.049","325,581,979,436.465","325,389,525,494.117","311,965,289,488.477","322,830,854,375.649","368,222,453,222.453","401,579,666,160.85","435,828,768,195.336","399,523,163,535.237","388,867,652,588.044","415,208,189,411.543","378,642,266,824.085","394,442,235,244.872","466,663,366,336.634","613,161,189,358.372","693,662,607,126.748","747,463,312,368.973","853,854,910,889.534","1,055,506,156,996.89","926,710,311,519.414","1,141,793,593,834.25","1,386,889,147,177.31","1,532,407,884,934.19"
Austria,"7,311,749,633.36229","7,756,110,210.11966","8,374,175,257.73075","9,169,983,885.71185","9,994,070,615.85997","10,887,682,273.1014","11,579,431,668.9165","12,440,625,312.8685","13,582,798,556.2404","15,215,058,932.2498","17,675,002,527.9448","21,832,965,361.7973","29,212,217,262.2161","34,827,754,651.953","39,647,626,536.7906","42,518,592,467.5922","51,016,162,684.2061","61,414,715,246.8492","73,177,642,820.3809","81,215,814,720.2723","70,304,401,244.168","70,542,983,786.3999","71,380,023,747.5103","67,286,843,408.2938","68,673,874,035.6478","98,018,638,125.2817","122,892,699,172.834","131,969,428,284.855","131,738,237,129.485","164,753,092,097.301","172,008,564,525.633","193,073,835,462.059","188,423,702,827.399","201,444,060,956.511","238,561,783,813.293","234,676,456,979.465",207826098771,"213,329,585,371.276","212,301,777,114.852","192,070,749,953.934","191,678,678,299.776","207,537,336,721.25","253,945,776,523.702","291,430,382,497.377","304,983,601,949.958","324,954,402,044.306","375,041,784,029.848","414,171,069,689.091","383,733,743,330.143","375,217,439,473.684","415,611,711,111.111","394,707,863,203.908"
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,858,006,035.91566","8,792,365,810.5094","4,991,350,457.5425","3,973,027,396.65195","3,313,739,673.54738","3,052,467,522.36104","3,176,749,593.11788","3,962,710,163.11167","4,446,396,217.63265","4,581,222,442.45783","5,272,617,196.04517","5,707,618,246.56848","6,236,024,951.20423","7,275,766,111.24309","8,680,511,918.49357","13,245,421,880.834","20,982,270,733.2484","33,049,380,917.6985","48,852,482,960.0779","44,291,490,420.5026","52,905,998,878.7143","65,952,763,948.839","66,604,589,419.4634"
Burundi,"202,999,992.32","213,500,006.4","232,749,998.08","260,750,008.32","158,994,962.962963","165,444,571.428571","178,297,142.857143",183200000,"190,205,714.285714","242,732,571.428571","252,842,285.714286","246,804,571.428571","304,339,839.552146","345,263,492.063492","420,986,666.666667","448,412,753.623188","547,535,555.555556","610,225,555.555556","782,496,666.666667","919,726,666.666667","969,046,666.666667","1,013,222,222.22222","1,082,926,304.46477","987,143,931.166987","1,149,979,285.77347","1,201,725,497.06578","1,131,466,494.01101","1,082,403,219.48787","1,113,924,130.41149","1,132,101,252.51817","1,167,398,478.3459","1,083,037,670.62404","938,632,612.059308","925,030,590.280334","1,000,428,393.94934","869,033,856.317093","972,896,267.915425","893,770,806.077641","808,077,223.365746","870,486,065.858218","876,794,723.02267","825,394,484.361648","784,654,423.603171","915,257,323.428255","1,117,254,387.10035","1,273,180,655.19805","1,356,078,300.12373","1,611,634,286.34081","1,739,781,535.88738","2,026,864,414.46871","2,355,652,063.58605","2,472,384,864.13151"
Belgium,"12,400,145,221.595","13,264,015,675.3193","14,260,017,387.0492","15,960,106,680.6732","17,371,457,607.9374","18,651,883,472.4808","19,992,040,788.4593","21,376,353,113.475","23,710,735,894.7022","26,381,124,884.4774","29,458,668,479.0753","36,756,500,047.1024","47,162,657,848.0043","55,351,036,496.7304","64,878,745,420.8373","70,248,275,973.4583","81,831,567,541.019","100,014,140,030.687","114,899,650,370.494","125,285,531,605.179","103,455,231,205.28","90,974,923,323.0028","86,123,021,067.9503","82,334,988,808.1695","85,218,196,227.3775","118,557,903,304.622","147,575,956,006.656","160,323,578,328.224","162,222,137,362.518","202,832,423,615.222","207,948,632,758.216","231,923,859,989.706","221,986,453,439.378","241,903,369,306.508","284,519,704,433.498","275,796,742,671.01","249,766,576,454.668","255,599,022,004.89","254,503,515,874.707","232,672,747,374.24","232,485,906,040.268","252,795,031,055.901","311,689,616,252.822","361,683,211,959.795","377,350,395,463.364","399,965,627,160.063","459,618,853,659.405","507,379,060,314.205","473,254,584,680.271","468,078,947,368.421","512,859,722,222.222","483,261,763,949.601"
Benin,"235,668,220.77437","236,434,954.308407","253,927,697.409774","269,819,005.921698","289,908,680.311257","302,925,235.583459","306,221,953.283423","326,323,105.762862","330,748,244.046535","333,627,713.317319","335,073,028.025766","410,331,856.333196","504,376,073.939638","554,654,861.454051","676,870,139.207855","698,408,261.007754","750,049,780.082509","928,843,468.48644","1,186,231,018.52654","1,405,251,843.93367","1,291,120,190.56764","1,267,778,671.41078","1,095,348,199.41031","1,051,134,009.37298","1,045,712,789.84681","1,336,102,027.03112","1,562,412,225.68031","1,620,246,084.88477","1,502,294,413.88616","1,959,965,330.51096","1,986,437,797.72499","1,695,315,185.83344","2,274,558,078.83804","1,598,075,944.82911","2,169,627,138.29988","2,361,116,448.13852","2,268,301,645.02353","2,455,092,688.11402","2,488,892,429.47577","2,359,122,302.67027","2,499,269,391.11713","2,807,657,386.40991","3,557,229,701.87707","4,050,869,967.79893","4,358,015,992.89839","4,705,087,452.19196","5,506,275,948.35799","6,633,561,835.2379","6,585,134,688.09549","6,558,416,322.12","7,294,900,430.89438","7,557,286,829.00186"
Burkina Faso,"350,247,234.99743","379,567,099.620738","394,040,667.595114","410,321,645.028445","422,916,789.34088","433,889,767.085803","450,753,923.930489","460,442,689.71532","478,298,644.747585","458,404,268.558262","482,411,179.628881","578,595,521.118458","674,773,569.554893","751,133,431.612732","939,972,701.817126","976,547,187.063795","1,131,224,879.98896","1,475,583,643.33537","1,748,480,618.19811","1,928,719,884.32648","1,775,842,336.50916","1,754,450,097.81998","1,600,278,605.2562","1,459,880,132.91342","1,552,493,197.36986","2,036,303,360.21989","2,369,834,946.42015","2,616,040,480.59295","2,615,587,730.03535","3,101,300,779.23055","3,135,045,586.3077","2,240,264,677.01086","2,332,018,010.60489","1,895,290,638.2992","2,379,517,975.81514","2,586,550,594.09477","2,447,669,100.4972","2,804,902,369.27178","3,014,665,572.20835","2,610,959,139.40963","2,812,845,486.44196","3,205,592,273.18693","4,205,691,121.78985","4,838,551,014.48553","5,462,709,054.77989","5,844,669,738.11104","6,755,823,932.79857","8,350,710,389.31231","8,348,156,389.07694","9,209,288,383.08711","10,395,757,480.2301","10,441,012,681.1037"
Bangladesh,"4,817,580,181.8999","5,081,413,344.74945","5,319,458,348.62372","5,386,054,612.64409","5,906,636,553.5409","6,439,687,605.76616","7,253,575,403.21538","7,483,685,482.82769","8,471,006,091.86674","8,992,721,806.56287","8,751,842,837.09068","6,288,245,865.8286","8,086,725,735.63934","12,512,460,518.1979","19,448,348,067.8251","10,117,113,334.0775","9,651,149,302.33962","13,281,767,144.6866","15,565,480,319.1349","18,138,049,095.6072","19,714,565,483.4761","18,050,898,203.5928","17,184,680,134.6801",19591480000,"21,613,230,769.2308",21089700000,"23,474,548,387.0968","25,638,749,373.0508","27,744,487,300.1473","30,495,081,541.7285","30,957,445,429.0092","31,293,826,879.8937","32,063,807,158.3373","33,853,081,792.2018","37,939,752,959.8665","40,666,015,641.0564","42,318,799,293.8429","44,091,754,148.1822","45,694,072,379.3677","47,124,925,462.1348","46,987,842,846.553","47,571,130,071.3913","51,913,661,485.3195","56,560,744,012.2303","60,277,560,975.6098","61,901,116,736.1525","68,415,421,372.7194","79,554,350,677.7438","89,359,767,441.8605","100,357,022,443.833","111,879,121,730.817","116,355,057,337.05"
Bulgaria,,,,,,,,,,,,,,,,,,,,"20,039,628,407.8472","20,056,237,268.7119","19,804,095,242.9809","16,959,385,327.1028","17,411,160,327.8573","17,562,123,539.8268","20,261,212,353.5477","28,429,026,655.9697","23,002,459,531.8911","21,746,813,404.0299","20,726,300,434.7032","10,943,548,723.7608","10,371,900,499.4574","10,831,999,516.8061","9,704,877,673.48824","13,069,094,969.2947","8,890,316,777.69345","10,053,469,055.2778","13,060,786,998.114","13,228,374,466.2635","12,903,546,765.0859","13,868,600,709.9324","15,979,194,511.3144","20,668,176,833.8431","25,283,228,366.4529","28,895,083,539.8005","33,209,188,738.5365","42,113,656,147.2255","51,824,892,678.1841","48,568,714,011.5163","47,727,325,908.633","53,544,649,409.8962","50,972,109,856.598"
