Trends,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Trend1,25.214576666666666,29.558790625,28.828873548387094,29.245107187500004,28.957363750000006,30.1445046875,33.38236545454544,29.04878064516129,33.884138484848485,37.20165257142857,46.59937282051282
Trend2,159.76007810810816,166.90632314285716,166.34636361111106,170.42969833333328,174.9326213888889,182.51692648648648,182.6711874285714,176.76629027027025,181.69782285714282,189.77376085714283,219.0069278787878
Trend3,499.9947972727272,473.99350454545447,475.5575763636364,480.8674063636364,501.49113909090914,542.166565,544.5399327272727,555.0253154545454,585.0182590909089,597.3857511111112,665.6340328571429
