Trends,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Trend1,19.70989296296296,27.628280322580643,26.809641,27.203691935483874,26.757967419354845,28.04281612903225,29.164908387096766,29.04878064516129,29.600969032258067,28.88088193548387,29.50813064516129
Trend2,115.05748954545452,142.317725,141.74496413793102,145.88668793103446,148.7004217241379,148.71673392857141,151.65080071428568,146.1226776923077,144.13399576923078,140.42154884615385,142.67470500000005
Trend3,200.2293505555556,243.2787025,245.90887250000003,249.66052125,269.3863533333333,268.43545800000004,260.53056000000004,249.19664727272723,255.68058545454545,244.71419000000003,260.1908309090909
Trend4,416.72157000000004,395.46629625,399.88532375,407.73811375,456.66414125000006,476.78778375,451.16845428571435,466.5033871428572,455.4465016666666,398.55842,412.576604
Trend5,874.7243199999999,683.3993933333335,677.35025,675.8788533333333,760.5065050000002,803.68169,707.94002,709.9386900000002,740.5043680000001,681.615905,692.460975
